"Duration__in_seconds_";"age";"gender";"socialmedia";"utopia";"use_utopia_1";"utopia_group";"mind1_items";"mind2_items";"group.stimuli";"stimuli";"behavior_items"
"78";928;33;2;1;2;0;"nuse";4.315789474;4.35;"E";4.9;4.25
"79";629;54;1;1;2;0;"nuse";5.526315789;5.45;"E";4.8;4.625
"80";955;28;2;1;2;0;"nuse";4.631578947;4.85;"E";5.85;3.5
"81";1022;61;2;1;2;0;"nuse";4.526315789;4.55;"E";6;3.25
"82";737;19;2;1;2;0;"nuse";4.105263158;4.15;"E";4.75;3.125
"83";622;25;2;1;2;0;"nuse";5;5;"E";4.8;4.875
"84";1213;23;2;1;2;0;"nuse";4;4.4;"E";4.2;1.875
"85";607;26;2;1;2;0;"nuse";5.210526316;5.1;"E";4.55;4.25
"86";875;22;2;1;2;0;"nuse";4.736842105;5.05;"E";5.3;3.75
"87";459;24;2;1;2;0;"nuse";5.052631579;5.3;"E";5.6;4.75
"88";956;27;1;1;2;0;"nuse";5;5.05;"E";5.15;4.5
"89";635;27;1;1;2;0;"nuse";3.789473684;3.9;"E";4.7;3.375
"90";464;30;2;1;2;0;"nuse";5.157894737;5.25;"E";5;3.5
"91";530;21;1;1;2;0;"nuse";4.315789474;4.45;"E";3.55;4
"92";4383;27;1;2;2;0;"nuse";2.894736842;3.15;"E";1.55;2.25
"93";662;27;2;1;2;0;"nuse";4;3.95;"E";4.35;3.25
"94";1031;23;2;1;2;0;"nuse";5.315789474;5;"E";4.45;4.5
"95";399;23;2;1;2;0;"nuse";5.473684211;5.45;"E";5.35;4.875
"96";864;53;2;1;2;0;"nuse";5.473684211;5.45;"E";5.25;4.125
"97";501;25;2;1;2;0;"nuse";4.894736842;4.9;"E";4.7;4.625
"98";823;30;2;1;2;0;"nuse";5;5;"E";4.8;3.875
"99";495;22;2;1;2;0;"nuse";4.631578947;4.85;"E";1.3;3.875
"100";536;27;1;1;2;0;"nuse";3.736842105;3.65;"E";3.2;2.875
"101";575;24;2;1;2;0;"nuse";4.684210526;4.5;"E";5.3;3.625
"102";439;23;1;1;2;0;"nuse";4.631578947;4.65;"E";4.6;3
"103";961;36;1;1;2;0;"nuse";4.894736842;4.85;"E";5.55;4.625
"104";655;30;1;1;2;0;"nuse";4.368421053;4.3;"E";4.45;3.375
"105";781;22;1;1;2;0;"nuse";4.473684211;4.55;"E";4.85;2.875
"106";523;21;1;1;2;0;"nuse";4.263157895;4.4;"E";3.4;4
"107";747;25;2;1;2;0;"nuse";2.894736842;3.3;"E";5.5;3.25
"108";520;24;2;1;2;0;"nuse";5;5.1;"E";5.8;2.625
"109";695;19;2;1;2;0;"nuse";3.842105263;3.75;"E";3.35;2.375
"110";770;29;1;1;2;0;"nuse";3.578947368;3.5;"E";3.2;2.5
"111";1540;31;1;1;1;5;"use";4.421052632;5;"E";5.5;4.75
"112";244506;24;2;1;2;0;"nuse";5.052631579;4.75;"E";5.05;4.25
"113";432030;27;2;1;2;0;"nuse";5.368421053;5.35;"E";5.25;3.5
"114";1051;34;2;2;2;0;"nuse";4.842105263;5.05;"E";5.55;4
"115";572;19;2;1;1;1;"nuse";5;5.25;"E";4.9;2.125
"116";787;33;2;1;2;0;"nuse";4.631578947;4.9;"E";1;3.875
"117";540;22;2;1;2;0;"nuse";5.315789474;5.4;"E";5.45;3.625
"118";337;25;2;1;1;4;"use";5.631578947;5.85;"E";5.95;4.625
"119";618;28;2;1;2;0;"nuse";4.842105263;4.75;"E";5.25;3.75
"120";565;33;2;1;2;0;"nuse";4.473684211;4.6;"E";3.65;3.625
"121";799;37;1;1;2;0;"nuse";4.105263158;4.15;"E";3.3;2.75
"122";1873;37;2;2;2;0;"nuse";4.842105263;4.9;"E";2.4;4
"123";526;26;1;1;2;0;"nuse";4.789473684;4.65;"E";2.45;3.625
"124";6062;36;1;1;1;1;"nuse";4.368421053;4.2;"E";4.1;3.25
"125";1491;29;2;1;2;0;"nuse";5.052631579;5.25;"E";3.25;4.625
"126";477;45;1;1;2;0;"nuse";4.842105263;4.9;"E";5.95;3.5
"127";520;36;2;1;2;0;"nuse";4.947368421;4.85;"E";4.85;3.125
"128";477;23;2;1;2;0;"nuse";4.894736842;4.65;"E";4.55;2.75
"129";1323;27;2;1;1;2;"use";5.263157895;5.15;"E";4.05;4.875
